k = 0,k = 1,k = 2
2.736803772,1.639105097,1.086388171
2.73528648,1.661482614,1.099055684
2.717901108,1.63337866,1.079791005
2.713014806,1.636317064,1.087370965
2.727446158,1.642050117,1.083976617
2.735060506,1.649130304,1.079086993
2.732547874,1.644920255,1.094614555
2.72729589,1.635658561,1.088558473
2.724724777,1.667656218,1.088664825
2.732010949,1.632367319,1.083261489
2.736255077,1.644407301,1.075019737
2.715269949,1.644276318,1.087026848
2.715881503,1.650051421,1.080600608
2.742743054,1.633765274,1.089553549
2.719460833,1.637817124,1.084901665
2.73627386,1.646102432,1.083399361
2.718111293,1.644469725,1.086319501
2.730433171,1.624544136,1.087423302
2.742472235,1.645842657,1.091555012
2.731440868,1.640586036,1.077682987
2.732976216,1.658763576,1.086398797
2.716033077,1.640174632,1.085481022
2.726965112,1.652283391,1.094112502
2.725813919,1.639035409,1.088664798
2.724813912,1.635899564,1.090004369
2.72928294,1.640377212,1.081024366
2.731482373,1.640141086,1.094743913
2.71308937,1.628882041,1.081110526
2.71367044,1.652399796,1.090529584
2.729901963,1.628544617,1.095776477
2.730659485,1.645083039,1.081243365
2.721012213,1.63944491,1.091877016
2.720362751,1.640526425,1.082331331
2.730532522,1.646521618,1.08867247
2.737036788,1.650181535,1.082530435
2.717079227,1.640431897,1.0916096
2.736737259,1.637910558,1.08253533
2.737772562,1.649199878,1.09187917
2.72432878,1.626057602,1.081376021
2.726128338,1.644885088,1.094743392
2.722373193,1.646201139,1.082649734
2.715319896,1.6488901,1.091711178
2.716670051,1.642483274,1.08250034
2.713083158,1.639451091,1.079212804
2.724908707,1.641919984,1.076831139
2.734600999,1.644177352,1.088428366
2.720279635,1.62268709,1.093456333
2.729122218,1.645783937,1.079523153
2.733191809,1.635851552,1.088269961
2.720525347,1.640311329,1.085904918
2.730247807,1.63038676,1.081924238
2.727378389,1.641320425,1.079252017
2.729492612,1.646732462,1.089430397
2.733272373,1.642439528,1.098656179
2.714734422,1.658658257,1.079751977
2.735035016,1.648116552,1.088347624
2.732275556,1.636465945,1.085330862
2.709606159,1.629820789,1.083678623
2.722523583,1.649137246,1.093246921
2.729001732,1.644864591,1.07800847
2.722212915,1.645221959,1.085415718
2.716817194,1.637549749,1.084739891
2.721196813,1.635453923,1.08957353
2.734317902,1.64259133,1.08356478
2.734818869,1.632709061,1.100002001
2.734333416,1.640482873,1.078652779
2.733234878,1.651086113,1.076853027
2.706256527,1.636754544,1.07906092
2.722102592,1.641071058,1.084411276
2.72826032,1.650313044,1.081029473
2.723657301,1.649401562,1.085893883
2.724396809,1.637769582,1.085809886
2.729056898,1.642068786,1.092991838
2.727960735,1.643756579,1.079069437
2.739111132,1.639663162,1.091586789
2.717442195,1.652038933,1.082731962
2.717530269,1.651825062,1.10066043
2.714154621,1.636062021,1.090465632
2.71794964,1.645182624,1.073771805
2.712769911,1.636752946,1.072167788
2.725978492,1.635187274,1.076836095
2.729293825,1.621758004,1.076503227
2.722218939,1.62699537,1.07672304
2.728216549,1.647366732,1.086099157
2.729245862,1.652151856,1.080204804
2.720482065,1.646314483,1.084527699
2.722254751,1.638122966,1.086115479
2.711706124,1.625786699,1.084877814
2.726886477,1.65266966,1.090845327
2.748028152,1.630258939,1.083832222
2.729973871,1.637783956,1.080588281
2.722699898,1.641228853,1.077444199
2.734162982,1.630838843,1.083959926
2.731228203,1.643513377,1.088441619
2.730007091,1.629197144,1.07972083
2.73062807,1.653082653,1.083903296
2.734043833,1.641584991,1.079447988
2.727360433,1.633358482,1.083321869
2.719776921,1.633713443,1.083379464
2.728917768,1.626583496,1.087146072
